yourlist:M20200504A94466D2655679D1FD8953E075198DA89B94A1F	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
FMO6P	O60774	FMO6_HUMAN	reviewed	Putative dimethylaniline monooxygenase [N-oxide-forming] 6 (EC 1.14.13.8) (Dimethylaniline oxidase 6) (Flavin-containing monooxygenase 6) (FMO 6)	FMO6P FMO6	Homo sapiens (Human)	539
C1orf220	Q5T0J3	CA220_HUMAN	reviewed	Putative uncharacterized protein C1orf220	C1orf220	Homo sapiens (Human)	134
LINC00862	A6NCI5	SIM16_HUMAN	reviewed	Putative transmembrane protein encoded by LINC00862 (Small integral membrane protein 16)	LINC00862 C1orf98 SMIM16	Homo sapiens (Human)	91
LINC00303	Q3SY05	CA157_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00303	LINC00303 C1orf157 NCRNA00303	Homo sapiens (Human)	128
BLACAT1	A0A494BZU2	A0A494BZU2_HUMAN	unreviewed	Bladder cancer-associated transcript 1	BLACAT1	Homo sapiens (Human)	33
C1orf140	Q5VVS0	CA140_HUMAN	reviewed	Putative uncharacterized protein C1orf140	C1orf140	Homo sapiens (Human)	124
IBA57-AS1	B1ANH7	IBADT_HUMAN	reviewed	Putative uncharacterized protein IBA57-DT (IBA57 antisense RNA 1) (IBA57 antisense gene protein 1) (IBA57 divergent transcripte)	IBA57-DT C1orf148 IBA57-AS1	Homo sapiens (Human)	110
OBSCN-AS1	Q96MR7	OBAS1_HUMAN	reviewed	Putative uncharacterized protein OBSCN-AS1 (OBSCN antisense RNA 1) (OBSCN antisense gene protein 1)	OBSCN-AS1 C1orf145	Homo sapiens (Human)	158
TSNAX-DISC1	C4P0D4	C4P0D4_HUMAN	unreviewed	Disrupted in schizophrenia 1 isoform 47 (Disrupted in schizophrenia 1 isoform 48) (Disrupted in schizophrenia 1 isoform 53) (TSNAX-DISC1 readthrough (NMD candidate))	TSNAX-DISC1 DISC1	Homo sapiens (Human)	138
TSNAX-DISC1	C4P0D6	C4P0D6_HUMAN	unreviewed	Disrupted in schizophrenia 1 isoform 49 (Disrupted in schizophrenia 1 isoform 50) (Disrupted in schizophrenia 1 isoform 54) (TSNAX-DISC1 readthrough (NMD candidate))	TSNAX-DISC1 DISC1	Homo sapiens (Human)	186
TSNAX-DISC1	C4P0D8	C4P0D8_HUMAN	unreviewed	Disrupted in schizophrenia 1 isoform 51 (TSNAX-DISC1 readthrough (NMD candidate))	TSNAX-DISC1 DISC1	Homo sapiens (Human)	188
TSNAX-DISC1	Q9NRI2	Q9NRI2_HUMAN	unreviewed	Disrupted in schizophrenia 1 isoform 52 (TSNAX-DISC1 readthrough (NMD candidate)) (Translin associated factor X) (Fragment)	TSNAX-DISC1 DISC1 TRAX	Homo sapiens (Human)	40
ZNF670-ZNF695	E7EVQ0	E7EVQ0_HUMAN	unreviewed	ZNF670-ZNF695 readthrough (NMD candidate)	ZNF670-ZNF695	Homo sapiens (Human)	118
ZNF670-ZNF695	F2Z2N8	F2Z2N8_HUMAN	unreviewed	ZNF670-ZNF695 readthrough (NMD candidate)	ZNF670-ZNF695	Homo sapiens (Human)	137
LINC00299	Q6ZSB3	CB046_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00299	LINC00299 C2orf46 NCRNA00299	Homo sapiens (Human)	139
PRORSD1P	A6NEY8	PRXD1_HUMAN	reviewed	Putative prolyl-tRNA synthetase associated domain-containing protein 1 (PrdX deacylase domain-containing protein 1) (Prolyl-tRNA synthetase associated domain-containing protein 1 pseudogene)	PRORSD1P NCRNA00117 PRDXDD1P	Homo sapiens (Human)	169
LINC00116	Q8NCU8	MTLN_HUMAN	reviewed	Mitoregulin (Small integral membrane protein 37)	MTLN LINC00116 NCRNA00116 SMIM37	Homo sapiens (Human)	56
TUBA4B	Q9H853	TBA4B_HUMAN	reviewed	Putative tubulin-like protein alpha-4B (Alpha-tubulin 4B)	TUBA4B TUBA4	Homo sapiens (Human)	241
LINC00471	Q8N535	CB052_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00471	LINC00471 C2orf52	Homo sapiens (Human)	108
MSL3P1	P0C860	MS3L2_HUMAN	reviewed	Putative male-specific lethal-3 protein-like 2 (MSL3-like 2) (Male-specific lethal-3 homolog 2) (Male-specific lethal-3 homolog pseudogene 1)	MSL3P1 MSL3L2	Homo sapiens (Human)	447
MGC16025	Q53SB4	Q53SB4_HUMAN	unreviewed	Uncharacterized protein MGC16025 (Fragment)	MGC16025	Homo sapiens (Human)	31
MGC16025	Q53SM2	Q53SM2_HUMAN	unreviewed	Uncharacterized protein MGC16025 (Fragment)	MGC16025	Homo sapiens (Human)	1052
PP14571	Q8WYV6	Q8WYV6_HUMAN	unreviewed	Uncharacterized protein pp14571	pp14571	Homo sapiens (Human)	121
LINC00312	Q9Y6C7	L3R2A_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00312 (Loss of heterozygosity 3 chromosomal region 2 gene A protein)	LINC00312 LOH3CR2A NCRNA00312 NAG7	Homo sapiens (Human)	94
TPRXL	Q17RH7	TPRXL_HUMAN	reviewed	Putative protein TPRXL	TPRXL	Homo sapiens (Human)	258
PRSS46	E5RG02	PRS46_HUMAN	reviewed	Putative serine protease 46 (EC 3.4.21.-) (Serine protease 46 pseudogene)	PRSS46P PRSS46	Homo sapiens (Human)	174
ESRG	Q1W209	ESRG_HUMAN	reviewed	Embryonic stem cell-related gene protein (hES cell-related gene protein)	ESRG HESRG	Homo sapiens (Human)	222
ERC2-IT1	O76042	ERIT1_HUMAN	reviewed	Putative uncharacterized protein encoded by ERC2-IT1 (ERC2 intronic transcript protein 1) (PO42)	ERC2-IT1 C1orf1 C3orf51	Homo sapiens (Human)	136
FAM172BP	A6NC97	F172B_HUMAN	reviewed	Putative protein FAM172B (FAM172B pseudogene)	FAM172BP FAM172B	Homo sapiens (Human)	362
LINC01565	O15544	GR6_HUMAN	reviewed	Protein GR6	LINC01565 C3orf27 GR6	Homo sapiens (Human)	149
H1FX-AS1	Q4G0G2	H1AS1_HUMAN	reviewed	Putative uncharacterized protein H1FX-AS1 (H1FX antisense RNA 1)	H1FX-AS1 C3orf47	Homo sapiens (Human)	97
BPESC1	Q9GZL8	BPEC1_HUMAN	reviewed	Putative BPES syndrome breakpoint region protein (BPES candidate 1)	BPESC1	Homo sapiens (Human)	116
LOC646903	Q96EG4	Q96EG4_HUMAN	unreviewed	LOC646903 protein (Fragment)	LOC646903	Homo sapiens (Human)	153
EGFEM1P	Q0D2K5	EGFEM_HUMAN	reviewed	Putative EGF-like and EMI domain-containing protein 1	EGFEM1P C3orf50 NCRNA00259	Homo sapiens (Human)	195
SYT14P1	Q58G82	SY14L_HUMAN	reviewed	Putative synaptotagmin-14-like protein (Synaptotagmin XIV protein pseudogene 1) (Synaptotagmin XIV-derived protein) (Synaptotagmin XIV-like protein)	SYT14P1 SYT14L SYT14LP1 SYTDEP	Homo sapiens (Human)	188
PP12613	Q8WYX1	Q8WYX1_HUMAN	unreviewed	Uncharacterized protein pp12613	pp12613	Homo sapiens (Human)	99
WWC2-AS2	Q96NR7	WWAS2_HUMAN	reviewed	Putative uncharacterized protein WWC2-AS2 (WWC2 antisense RNA 2) (WWC2 antisense gene protein 2)	WWC2-AS2 C4orf38	Homo sapiens (Human)	200
EXOC3-AS1	Q8N2X6	EXAS1_HUMAN	reviewed	Uncharacterized protein EXOC3-AS1 (EXOC3 antisense RNA 1) (EXOC3 antisense gene protein 1)	EXOC3-AS1 C5orf55	Homo sapiens (Human)	119
LINC02218	A0A1W2PRN6	A0A1W2PRN6_HUMAN	unreviewed	HCG1807616 (Long intergenic non-protein coding RNA 2218)	LINC02218 hCG_1807616	Homo sapiens (Human)	198
GUSBP1	Q15486	GUSP1_HUMAN	reviewed	Putative inactive beta-glucuronidase-like protein SMA3	GUSBP1 SMA3	Homo sapiens (Human)	140
C5orf17	Q8NAS9	CE017_HUMAN	reviewed	Putative uncharacterized protein C5orf17	C5orf17	Homo sapiens (Human)	161
LOC648987	Q8N4J7	Q8N4J7_HUMAN	unreviewed	LOC648987 protein (Fragment)	LOC648987	Homo sapiens (Human)	145
LINC01554	Q52M75	CE027_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC01554 (Protein FIS)	LINC01554 C5orf27	Homo sapiens (Human)	96
PCDHB18P	Q96TA0	PCDBI_HUMAN	reviewed	Putative protocadherin beta-18 (PCDH-beta-18) (PCDH-psi2)	PCDHB18P PCDHB18	Homo sapiens (Human)	734
GMCL1P1	Q8NEA9	GMCL2_HUMAN	reviewed	Germ cell-less protein-like 2 (Germ cell-less protein-like 1-like)	GMCL2 GCL GMCL1L GMCL1P1	Homo sapiens (Human)	526
LINC01600	Q96MT4	CF195_HUMAN	reviewed	Uncharacterized protein encoded by LINC01600	LINC01600 C6orf195	Homo sapiens (Human)	127
EEF1E1-BLOC1S5	C9J1V9	C9J1V9_HUMAN	unreviewed	EEF1E1-BLOC1S5 readthrough (NMD candidate) (HCG2043275)	EEF1E1-BLOC1S5 hCG_2043275	Homo sapiens (Human)	151
LINC00518	Q8N0U6	CF218_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00518	LINC00518 C6orf218	Homo sapiens (Human)	118
CMAHP	Q9Y471	CMAH_HUMAN	reviewed	Inactive cytidine monophosphate-N-acetylneuraminic acid hydroxylase (CMP-NeuAc hydroxylase-like protein) (Cytidine monophosphate-N-acetylneuraminic acid hydroxylase pseudogene)	CMAHP CMAH	Homo sapiens (Human)	501
LINC00336	Q6ZUF6	NC336_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00336	LINC00336 C6orf227 NCRNA00336	Homo sapiens (Human)	198
TDRG1	Q3Y452	TDRG1_HUMAN	reviewed	Testis development-related protein 1	TDRG1	Homo sapiens (Human)	100
LINC00472	Q9H8W2	CF155_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00472	LINC00472 C6orf155	Homo sapiens (Human)	130
LINC01590	Q5TEZ4	CF164_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC01590 (Long intergenic non-protein coding RNA 1590)	LINC01590 C6orf164	Homo sapiens (Human)	76
BVES-AS1	Q5T3Y7	BVAS1_HUMAN	reviewed	Putative uncharacterized protein BVES-AS1 (BVES antisense RNA 1) (BVES antisense gene protein 1)	BVES-AS1 C6orf112	Homo sapiens (Human)	98
LINC00271	P0C7V0	CF217_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00271	LINC00271 C6orf217 NCRNA00271	Homo sapiens (Human)	271
NHEG1	C3RW64	C3RW64_HUMAN	unreviewed	Neuroblastoma highly expressed protein 1	NHEG1	Homo sapiens (Human)	71
LOC645967	F1T0L1	F1T0L1_HUMAN	unreviewed	Hypothetical LOC645967	LOC645967	Homo sapiens (Human)	182
AGPAT4-IT1	Q9H0P7	AGIT1_HUMAN	reviewed	Putative uncharacterized protein encoded by AGPAT4-IT1 (AGPAT4 intronic transcript 1)	AGPAT4-IT1 C6orf59 NCRNA00241	Homo sapiens (Human)	198
LINC00473	A8K010	CF176_HUMAN	reviewed	Putative transcriptional regulator encoded by LINC00473	LINC00473 C6orf176	Homo sapiens (Human)	186
LINC01558	Q9Y6Z2	CF123_HUMAN	reviewed	Uncharacterized protein encoded by LINC01558 (Protein HGC6.2)	LINC01558 C6orf123	Homo sapiens (Human)	57
AFDN-AS1	Q9Y6Z5	AFDDT_HUMAN	reviewed	Putative uncharacterized protein AFDN-DT (AFDN divergent transcript) (Protein HGC6.4)	AFDN-DT AFDN-AS1 C6orf124	Homo sapiens (Human)	254
PSMG3-AS1	Q96PY0	K1908_HUMAN	reviewed	Putative uncharacterized protein PSMG3-AS1 (PSMG3 antisense RNA 1)	PSMG3-AS1 KIAA1908	Homo sapiens (Human)	264
RBAKDN	A6NC62	RAKDN_HUMAN	reviewed	Putative RBAK downstream neighbor protein	RBAKDN	Homo sapiens (Human)	111
LOC541472	Q8N6X1	Q8N6X1_HUMAN	unreviewed	LOC541472 protein	LOC541472	Homo sapiens (Human)	51
KIAA0087	Q14695	K0087_HUMAN	reviewed	Uncharacterized protein KIAA0087	KIAA0087 HA1002	Homo sapiens (Human)	138
DKFZP586I1420	A0A090N8G2	A0A090N8G2_HUMAN	unreviewed	Prot_ATP_ID_OB domain-containing protein	DKFZp586I1420 tcag7.670	Homo sapiens (Human)	132
LOC401320	A0A090N8Y7	A0A090N8Y7_HUMAN	unreviewed	Hypothetical gene supported by BC016976	LOC401320 tcag7.905	Homo sapiens (Human)	106
LOC401324	A4D1Y7	A4D1Y7_HUMAN	unreviewed	Hypothetical gene supported by AL832092	LOC401324 tcag7.952	Homo sapiens (Human)	142
FAM183BP	Q6ZVS7	F183B_HUMAN	reviewed	Protein FAM183BP (Testis highly expressed protein 6)	FAM183BP FAM183B THEG6	Homo sapiens (Human)	135
SND1-IT1	Q9HBX3	SNIT1_HUMAN	reviewed	Uncharacterized protein encoded by SND1-IT1 (Brain and nasopharyngeal carcinoma susceptibility protein NSG-x) (Nasopharyngeal carcinoma-associated gene 8 protein) (SND1 intronic transcript 1)	SND1-IT1 C7orf54 NAG8	Homo sapiens (Human)	110
MGC27345	Q8TAC0	Q8TAC0_HUMAN	unreviewed	HCG1816833 (MGC27345 protein)	MGC27345 hCG_1816833	Homo sapiens (Human)	95
MOXD2P	A6NHM9	MOXD2_HUMAN	reviewed	Putative DBH-like monooxygenase protein 2 (EC 1.14.17.-) (DBH-like monooxygenase protein 2 pseudogene)	MOXD2P MOXD2	Homo sapiens (Human)	499
LOC155060	D3DWG5	D3DWG5_HUMAN	unreviewed	KRAB domain-containing protein	LOC155060 hCG_1640448	Homo sapiens (Human)	233
BLACE	A4D250	BLACE_HUMAN	reviewed	B-cell acute lymphoblastic leukemia-expressed protein	BLACE	Homo sapiens (Human)	179
LOC285889	A4D240	A4D240_HUMAN	unreviewed	Uncharacterized protein LOC285889	LOC285889 tcag7.571	Homo sapiens (Human)	116
LINC01006,C7orf13	Q8NI28	CG013_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC01006 (Long intergenic non-protein coding RNA 1006)	LINC01006 C7orf13 MY040	Homo sapiens (Human)	216
C7orf13	Q9H3I6	Q9H3I6_HUMAN	unreviewed	Brain my040 protein (Chromosome 7 open reading frame 13)	C7orf13 tcag7.556	Homo sapiens (Human)	88
FAM87A	P0C7U9	FA87A_HUMAN	reviewed	Protein FAM87A	FAM87A	Homo sapiens (Human)	286
TDH	Q8IZJ6	TDH_HUMAN	reviewed	Inactive L-threonine 3-dehydrogenase, mitochondrial (Short chain dehydrogenase/reductase family 14E member 1 pseudogene)	TDH SDR14E1P	Homo sapiens (Human)	230
LINC00208	Q96KT6	CH014_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00208	LINC00208 C8orf14 NCRNA00208	Homo sapiens (Human)	92
C8orf49	A2RUK8	A2RUK8_HUMAN	unreviewed	C8orf49 protein (Chromosome 8 open reading frame 49)	C8orf49 hCG_1990689	Homo sapiens (Human)	230
C8orf49	Q96NF6	CH049_HUMAN	reviewed	Putative uncharacterized protein C8orf49	C8orf49	Homo sapiens (Human)	230
ADAM5	Q6NVV9	ADAM5_HUMAN	reviewed	Putative disintegrin and metalloproteinase domain-containing protein 5 (Putative transmembrane metalloproteinase-like, disintegrin-like, and cysteine-rich protein II) (tMDC II)	ADAM5 ADAM5P TMDC2	Homo sapiens (Human)	412
RBM12B-AS1	Q9P1G2	RBAS1_HUMAN	reviewed	Putative uncharacterized protein encoded by RBM12B-AS1 (RBM12B antisense RNA 1) (RBM12B antisense gene protein 1)	RBM12B-AS1 C8orf39 PRO1905	Homo sapiens (Human)	102
FER1L6-AS2	Q96M78	FEAS2_HUMAN	reviewed	Putative uncharacterized protein encoded by FER1L6-AS2 (FER1L6 antisense RNA 2) (FER1L6 antisense gene protein 2)	FER1L6-AS2 C8orf78	Homo sapiens (Human)	137
TMEM75	Q8N9X5	TMM75_HUMAN	reviewed	Putative transmembrane protein 75	TMEM75	Homo sapiens (Human)	138
CCDC26	A0A024R9H7	A0A024R9H7_HUMAN	unreviewed	Coiled-coil domain containing 26, isoform CRA_a	CCDC26 hCG_1814492	Homo sapiens (Human)	109
CCDC26	Q8TAB7	CCD26_HUMAN	reviewed	Putative coiled-coil domain-containing protein 26 (Retinoic acid modulator)	CCDC26 RAM	Homo sapiens (Human)	109
RHPN1-AS1	Q9BWJ2	RHAS1_HUMAN	reviewed	Putative uncharacterized protein encoded by RHPN1-AS1 (RHPN1 antisense RNA 1) (RHPN1 antisense gene protein 1)	RHPN1-AS1 C8orf51	Homo sapiens (Human)	59
ZNF252P-AS1	Q0IIN9	ZNFS1_HUMAN	reviewed	Putative uncharacterized protein ZNF252P-AS1 (ZNF252P antisense RNA 1) (ZNF252P antisense gene protein 1)	ZNF252P-AS1 C8orf77	Homo sapiens (Human)	211
LINC00032	P0C843	CI014_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00032	LINC00032 C9orf14 NCRNA00032	Homo sapiens (Human)	101
ANXA2P2	A6NMY6	AXA2L_HUMAN	reviewed	Putative annexin A2-like protein (Annexin A2 pseudogene 2) (Lipocortin II pseudogene)	ANXA2P2 ANX2L2 ANX2P2 LPC2B	Homo sapiens (Human)	339
FAM205BP	Q63HN1	F205B_HUMAN	reviewed	Putative protein FAM205B	FAM205BP C9orf144 C9orf144A FAM205B	Homo sapiens (Human)	556
CTSL3P	Q5NE16	CATL3_HUMAN	reviewed	Putative inactive cathepsin L-like protein CTSL3P (Cathepsin L3 pseudogene) (HCTSL-s)	CTSL3P CTSL3	Homo sapiens (Human)	218
LINC00476	Q8WZB0	CI130_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00476 (Nasopharyngeal carcinoma-associated gene 12 protein)	LINC00476 C9orf130 NAG12	Homo sapiens (Human)	136
LINC00587	B1AMM8	CI107_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00587	LINC00587 C9orf107	Homo sapiens (Human)	73
LINC00474	Q9P2X8	CI027_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00474 (Protein EST-YD1)	LINC00474 C9orf27	Homo sapiens (Human)	69
PAPPA-AS1	Q5QFB9	PAPAS_HUMAN	reviewed	Protein PAPPAS (DIPLA1 antisense RNA 1) (DIPLA1 antisense gene protein 1) (DIPLA1-antisense expressed) (PAPPAS antisense RNA 1) (PAPPAS antisense gene protein 1) (PAPPAS-antisense expressed)	PAPPA-AS1 DIPAS PAPPAS	Homo sapiens (Human)	102
GSN-AS1	Q9NRJ2	GSAS1_HUMAN	reviewed	Putative uncharacterized protein GSN-AS1 (GSN antisense RNA 1) (GSN antisense gene protein 1) (Protein MOST-2)	GSN-AS1 C9orf31 MOST2	Homo sapiens (Human)	163
GGTA1P	Q4G0N0	GGTA1_HUMAN	reviewed	Inactive N-acetyllactosaminide alpha-1,3-galactosyltransferase (Glycoprotein alpha-galactosyltransferase 1 pseudogene)	GGTA1P GGTA1	Homo sapiens (Human)	100
LINC00094	A0A1B0GUI7	BRDOS_HUMAN	reviewed	Putative uncharacterized protein BRD3OS (BRD3 opposite strand protein) (Long intergenic non-protein coding RNA 94) (Non-protein coding RNA 94)	BRD3OS LINC00094 NCRNA00094	Homo sapiens (Human)	84
PRR26	Q5VXK3	Q5VXK3_HUMAN	unreviewed	Chromosome 10 open reading frame 108, isoform CRA_a (Proline-rich protein 26)	PRR26 C10orf108 hCG_2042946	Homo sapiens (Human)	198
PRR26	Q8N8Z3	PRR26_HUMAN	reviewed	Proline-rich protein 26	PRR26 C10orf108	Homo sapiens (Human)	221
IDI2-AS1	Q9NZ38	IDAS1_HUMAN	reviewed	Uncharacterized protein IDI2-AS1 (IDI2 antisense RNA 1) (IDI2 antisense gene protein 1)	IDI2-AS1 C10orf110 HT009	Homo sapiens (Human)	188
AKR1C8P	A0A3B3IRI8	A0A3B3IRI8_HUMAN	unreviewed	Putative aldo-keto reductase family 1 member C8	AKR1C8P	Homo sapiens (Human)	326
AKR1C8P	Q5T2L2	AKCL1_HUMAN	reviewed	Putative aldo-keto reductase family 1 member C8 (Aldo-keto reductase family 1 member C-like protein 1) (EC 1.1.1.-)	AKR1C8P AKR1CL1	Homo sapiens (Human)	129
LINC01553	A4QN01	CJ040_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC01553	LINC01553 C10orf40	Homo sapiens (Human)	128
DNAJC9-AS1	A6NH13	DAS1_HUMAN	reviewed	Putative uncharacterized protein DNAJC9-AS1 (DNAJC9 antisense RNA 1) (DNAJC9 antisense gene protein 1)	DNAJC9-AS1 C10orf103	Homo sapiens (Human)	148
TLX1NB	P0CAT3	TLXNB_HUMAN	reviewed	Putative TLX1 neighbor protein (TLX1 divergent gene protein)	TLX1NB TDI	Homo sapiens (Human)	122
BORCS7-ASMT	A0A0B4J1R7	A0A0B4J1R7_HUMAN	unreviewed	BORCS7-ASMT readthrough (NMD candidate)	BORCS7-ASMT	Homo sapiens (Human)	106
LINC01561	Q8N1V8	CJ085_HUMAN	reviewed	Uncharacterized protein encoded by LINC01561	LINC01561 C10orf85	Homo sapiens (Human)	128
IGF2-AS	Q6U949	IG2AS_HUMAN	reviewed	Putative insulin-like growth factor 2 antisense gene protein (IGF2 antisense RNA 1) (IGF2 antisense gene protein 1) (PEG8/IGF2AS protein) (Putative insulin-like growth factor 2 antisense gene protein 1) (IGF2-AS1)	IGF2-AS IGF2-AS1 IGF2AS	Homo sapiens (Human)	168
MRGPRG-AS1	Q2M3A8	MRAS1_HUMAN	reviewed	Putative uncharacterized protein MRGPRG-AS1 (MRGPRG antisense RNA 1) (MRGPRG antisense gene protein 1)	MRGPRG-AS1 C11orf36 HSD-40 HSD40	Homo sapiens (Human)	158
GVINP1	Q7Z2Y8	GVIN1_HUMAN	reviewed	Interferon-induced very large GTPase 1 (Interferon-induced very large GTPase pseudogene 1)	GVINP1 GVIN1 VLIG1	Homo sapiens (Human)	2422
SPTY2D1-AS1	A0A0U1RRN3	SPTOS_HUMAN	reviewed	Putative transmembrane protein SPTY2D1OS (SPTY2D1 antisense RNA 1) (SPTY2D1 opposite strand)	SPTY2D1OS SPTY2D1-AS1	Homo sapiens (Human)	59
WT1-AS	Q06250	WIT1_HUMAN	reviewed	Putative Wilms tumor upstream neighbor 1 gene protein (WIT-1) (Wilms tumor-associated antisense RNA)	WT1-AS WIT1	Homo sapiens (Human)	92
TMX2-CTNND1	H3BSU7	H3BSU7_HUMAN	unreviewed	TMX2-CTNND1 readthrough (NMD candidate)	TMX2-CTNND1	Homo sapiens (Human)	103
ZFP91-CNTF	A0A0A6YYC7	A0A0A6YYC7_HUMAN	unreviewed	HCG2042749, isoform CRA_d (Protein ZFP91-CNTF)	ZFP91-CNTF hCG_2042749	Homo sapiens (Human)	529
ZFP91-CNTF	H3BTR0	H3BTR0_HUMAN	unreviewed	ZFP91-CNTF readthrough (NMD candidate) (Fragment)	ZFP91-CNTF	Homo sapiens (Human)	354
LINC00301	Q8NCQ3	NC301_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00301	LINC00301 C11orf64 NCRNA00301	Homo sapiens (Human)	95
DKFZP434K028	Q9UFL8	Q9UFL8_HUMAN	unreviewed	HCG2017874	DKFZp434K028 hCG_2017874	Homo sapiens (Human)	129
ARL2-SNX15	V9GYD0	V9GYD0_HUMAN	unreviewed	ARL2-SNX15 readthrough (NMD candidate)	ARL2-SNX15	Homo sapiens (Human)	113
C11orf72	Q8NBR9	CK072_HUMAN	reviewed	Uncharacterized protein C11orf72	C11orf72	Homo sapiens (Human)	251
LOC100132686	Q8NEQ1	Q8NEQ1_HUMAN	unreviewed	LOC100132686 protein	LOC100132686	Homo sapiens (Human)	37
TMPRSS4-AS1	A0A1B0GVV1	SIM35_HUMAN	reviewed	Small integral membrane protein 35 (TMPRSS4 antisense RNA 1)	SMIM35 TMPRSS4-AS1	Homo sapiens (Human)	85
KIRREL3-AS3	Q8N7Y1	KIAS3_HUMAN	reviewed	Putative uncharacterized protein KIRREL3-AS3 (KIRREL3 antisense RNA 1) (KIRREL3 antisense gene protein 1) (Proline-rich protein 10)	KIRREL3-AS3 NCRNA00288 PRR10	Homo sapiens (Human)	241
LOC100049716	Q8N503	Q8N503_HUMAN	unreviewed	LOC100049716 protein (Fragment)	LOC100049716	Homo sapiens (Human)	292
LINC01559	Q495D7	CL036_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC01559	LINC01559 C12orf36	Homo sapiens (Human)	138
LINC00477	Q96M19	CL067_HUMAN	reviewed	Putative transmembrane protein encoded by LINC00477	LINC00477 C12orf67	Homo sapiens (Human)	166
KRT87P	A6NCN2	KR87P_HUMAN	reviewed	Putative keratin-87 protein (Keratin, hair, basic pseudogene 4) (Keratin-121 pseudogene)	KRT87P KRT121P KRTHBP4	Homo sapiens (Human)	255
GLYCAM1	Q8IVK1	GLCM1_HUMAN	reviewed	Putative glycosylation-dependent cell adhesion molecule 1 (GlyCAM-1)	GLYCAM1	Homo sapiens (Human)	47
LINC01465	Q8N7H1	CL061_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC01465	LINC01465 C12orf61	Homo sapiens (Human)	131
MKRN9P	Q6NVV0	MKRN5_HUMAN	reviewed	Putative makorin-5 (Makorin ring finger protein pseudogene 6) (Makorin ring finger protein pseudogene 9) (Putative RING finger protein 65)	MKRN9P MKRN5 MKRN9 MKRNP6 RNF65 ZNF127L3	Homo sapiens (Human)	33
LINC01619	G3V211	CL079_HUMAN	reviewed	Uncharacterized protein encoded by LINC01619	LINC01619 C12orf79	Homo sapiens (Human)	115
