yourlist:M20200514A94466D2655679D1FD8953E075198DA8C1D4D0E	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
TNFRSF14	Q92956	TNR14_HUMAN	reviewed	Tumor necrosis factor receptor superfamily member 14 (Herpes virus entry mediator A) (Herpesvirus entry mediator A) (HveA) (Tumor necrosis factor receptor-like 2) (TR2) (CD antigen CD270)	TNFRSF14 HVEA HVEM UNQ329/PRO509	Homo sapiens (Human)	283
MMEL1	Q495T6	MMEL1_HUMAN	reviewed	Membrane metallo-endopeptidase-like 1 (EC 3.4.24.11) (Membrane metallo-endopeptidase-like 2) (NEP2(m)) (Neprilysin II) (NEPII) (Neprilysin-2) (NEP2) (NL2) [Cleaved into: Membrane metallo-endopeptidase-like 1, soluble form (Neprilysin-2 secreted) (NEP2(s))]	MMEL1 MELL1 MMEL2 NEP2	Homo sapiens (Human)	779
TTC34	A8MYJ7	TTC34_HUMAN	reviewed	Tetratricopeptide repeat protein 34 (TPR repeat protein 34)	TTC34	Homo sapiens (Human)	566
PRDM16	Q9HAZ2	PRD16_HUMAN	reviewed	Histone-lysine N-methyltransferase PRDM16 (EC 2.1.1.-) (PR domain zinc finger protein 16) (PR domain-containing protein 16) (Transcription factor MEL1) (MDS1/EVI1-like gene 1)	PRDM16 KIAA1675 MEL1 PFM13	Homo sapiens (Human)	1276
WRAP73	Q9P2S5	WRP73_HUMAN	reviewed	WD repeat-containing protein WRAP73 (WD repeat-containing protein 8) (WD repeat-containing protein antisense to TP73 gene)	WRAP73 WDR8	Homo sapiens (Human)	460
TP73	O15350	P73_HUMAN	reviewed	Tumor protein p73 (p53-like transcription factor) (p53-related protein)	TP73 P73	Homo sapiens (Human)	636
CCDC27	Q2M243	CCD27_HUMAN	reviewed	Coiled-coil domain-containing protein 27	CCDC27	Homo sapiens (Human)	656
LRRC47	Q8N1G4	LRC47_HUMAN	reviewed	Leucine-rich repeat-containing protein 47	LRRC47 KIAA1185	Homo sapiens (Human)	583
CEP104	O60308	CE104_HUMAN	reviewed	Centrosomal protein of 104 kDa (Cep104)	CEP104 KIAA0562	Homo sapiens (Human)	925
C1orf174	Q8IYL3	CA174_HUMAN	reviewed	UPF0688 protein C1orf174	C1orf174	Homo sapiens (Human)	243
AJAP1	Q9UKB5	AJAP1_HUMAN	reviewed	Adherens junction-associated protein 1 (Membrane protein shrew-1)	AJAP1 MOT8 SHREW1	Homo sapiens (Human)	411
NPHP4	O75161	NPHP4_HUMAN	reviewed	Nephrocystin-4 (Nephroretinin)	NPHP4 KIAA0673	Homo sapiens (Human)	1426
KCNAB2	Q13303	KCAB2_HUMAN	reviewed	Voltage-gated potassium channel subunit beta-2 (EC 1.1.1.-) (K(+) channel subunit beta-2) (Kv-beta-2) (hKvbeta2)	KCNAB2 KCNA2B KCNK2	Homo sapiens (Human)	367
CHD5	O00258	GET1_HUMAN	reviewed	Guided entry of tail-anchored proteins factor 1 (Congenital heart disease 5 protein) (Tail-anchored protein insertion receptor WRB) (Tryptophan-rich basic protein)	GET1 CHD5 WRB	Homo sapiens (Human)	174
CHD5	Q8TDI0	CHD5_HUMAN	reviewed	Chromodomain-helicase-DNA-binding protein 5 (CHD-5) (EC 3.6.4.12) (ATP-dependent helicase CHD5)	CHD5 KIAA0444	Homo sapiens (Human)	1954
RNF207	Q6ZRF8	RN207_HUMAN	reviewed	RING finger protein 207	RNF207 C1orf188	Homo sapiens (Human)	634
GPR153	Q6NV75	GP153_HUMAN	reviewed	Probable G-protein coupled receptor 153 (G-protein coupled receptor PGR1)	GPR153 PGR1	Homo sapiens (Human)	609
TNFRSF25	Q93038	TNR25_HUMAN	reviewed	Tumor necrosis factor receptor superfamily member 25 (Apo-3) (Apoptosis-inducing receptor AIR) (Apoptosis-mediating receptor DR3) (Apoptosis-mediating receptor TRAMP) (Death receptor 3) (Lymphocyte-associated receptor of death) (LARD) (Protein WSL) (Protein WSL-1)	TNFRSF25 APO3 DDR3 DR3 TNFRSF12 WSL WSL1 UNQ455/PRO779	Homo sapiens (Human)	417
PLEKHG5	O94827	PKHG5_HUMAN	reviewed	Pleckstrin homology domain-containing family G member 5 (PH domain-containing family G member 5) (Guanine nucleotide exchange factor 720) (GEF720)	PLEKHG5 KIAA0720	Homo sapiens (Human)	1062
NOL9	Q5SY16	NOL9_HUMAN	reviewed	Polynucleotide 5'-hydroxyl-kinase NOL9 (EC 2.7.1.-) (Nucleolar protein 9)	NOL9	Homo sapiens (Human)	702
TAS1R1	Q7RTX1	TS1R1_HUMAN	reviewed	Taste receptor type 1 member 1 (G-protein coupled receptor 70)	TAS1R1 GPR70 T1R1 TR1 GM148	Homo sapiens (Human)	841
KLHL21	Q9UJP4	KLH21_HUMAN	reviewed	Kelch-like protein 21	KLHL21 KIAA0469	Homo sapiens (Human)	597
THAP3	Q8WTV1	THAP3_HUMAN	reviewed	THAP domain-containing protein 3	THAP3	Homo sapiens (Human)	239
DNAJC11	Q9NVH1	DJC11_HUMAN	reviewed	DnaJ homolog subfamily C member 11	DNAJC11	Homo sapiens (Human)	559
CAMTA1	Q9Y6Y1	CMTA1_HUMAN	reviewed	Calmodulin-binding transcription activator 1	CAMTA1 KIAA0833 MSTP023	Homo sapiens (Human)	1673
PER3	P56645	PER3_HUMAN	reviewed	Period circadian protein homolog 3 (hPER3) (Cell growth-inhibiting gene 13 protein) (Circadian clock protein PERIOD 3)	PER3 GIG13	Homo sapiens (Human)	1201
UTS2	O95399	UTS2_HUMAN	reviewed	Urotensin-2 (Urotensin II) (U-II) (UII)	UTS2 UNQ525/PRO1068	Homo sapiens (Human)	124
RERE	Q9P2R6	RERE_HUMAN	reviewed	Arginine-glutamic acid dipeptide repeats protein (Atrophin-1-like protein) (Atrophin-1-related protein)	RERE ARG ARP ATN1L KIAA0458	Homo sapiens (Human)	1566
CA6	P23280	CAH6_HUMAN	reviewed	Carbonic anhydrase 6 (EC 4.2.1.1) (Carbonate dehydratase VI) (Carbonic anhydrase VI) (CA-VI) (Salivary carbonic anhydrase) (Secreted carbonic anhydrase)	CA6	Homo sapiens (Human)	308
GPR157	Q5UAW9	GP157_HUMAN	reviewed	G-protein coupled receptor 157	GPR157	Homo sapiens (Human)	335
H6PD	O95479	G6PE_HUMAN	reviewed	GDH/6PGL endoplasmic bifunctional protein [Includes: Hexose-6-phosphate dehydrogenase (Glucose 1-dehydrogenase) (GDH) (EC 1.1.1.47) (Glucose-6-phosphate dehydrogenase) (EC 1.1.1.363); 6-phosphogluconolactonase (6PGL) (EC 3.1.1.31)]	H6PD GDH	Homo sapiens (Human)	791
SPSB1	Q96BD6	SPSB1_HUMAN	reviewed	SPRY domain-containing SOCS box protein 1 (SSB-1)	SPSB1 SSB1	Homo sapiens (Human)	273
TMEM201	Q5SNT2	TM201_HUMAN	reviewed	Transmembrane protein 201 (Spindle-associated membrane protein 1)	TMEM201 NET5 SAMP1	Homo sapiens (Human)	666
PIK3CD-AS1	Q5SR53	CA200_HUMAN	reviewed	Putative uncharacterized protein PIK3CD-AS1 (PIK3CD antisense RNA 1) (PIK3CD antisense gene protein 1)	PIK3CD-AS1 C1orf200	Homo sapiens (Human)	167
CORT	O00230	CORT_HUMAN	reviewed	Cortistatin [Cleaved into: Cortistatin-29; Cortistatin-17]	CORT UNQ307/PRO350	Homo sapiens (Human)	105
CASZ1	Q86V15	CASZ1_HUMAN	reviewed	Zinc finger protein castor homolog 1 (Castor-related protein) (Putative survival-related protein) (Zinc finger protein 693)	CASZ1 CST SRG ZNF693	Homo sapiens (Human)	1759
C1orf127	Q8N9H9	CA127_HUMAN	reviewed	Uncharacterized protein C1orf127	C1orf127	Homo sapiens (Human)	656
SRM	P19623	SPEE_HUMAN	reviewed	Spermidine synthase (SPDSY) (EC 2.5.1.16) (Putrescine aminopropyltransferase)	SRM SPS1 SRML1	Homo sapiens (Human)	302
EXOSC10	Q01780	EXOSX_HUMAN	reviewed	Exosome component 10 (EC 3.1.13.-) (Autoantigen PM/Scl 2) (P100 polymyositis-scleroderma overlap syndrome-associated autoantigen) (Polymyositis/scleroderma autoantigen 100 kDa) (PM/Scl-100) (Polymyositis/scleroderma autoantigen 2)	EXOSC10 PMSCL PMSCL2 RRP6	Homo sapiens (Human)	885
MTOR	P42345	MTOR_HUMAN	reviewed	Serine/threonine-protein kinase mTOR (EC 2.7.11.1) (FK506-binding protein 12-rapamycin complex-associated protein 1) (FKBP12-rapamycin complex-associated protein) (Mammalian target of rapamycin) (mTOR) (Mechanistic target of rapamycin) (Rapamycin and FKBP12 target 1) (Rapamycin target protein 1)	MTOR FRAP FRAP1 FRAP2 RAFT1 RAPT1	Homo sapiens (Human)	2549
DISP3	Q9P2K9	DISP3_HUMAN	reviewed	Protein dispatched homolog 3 (Patched domain-containing protein 2)	DISP3 KIAA1337 PTCHD2	Homo sapiens (Human)	1392
C1orf167	Q5SNV9	CA167_HUMAN	reviewed	Uncharacterized protein C1orf167	C1orf167	Homo sapiens (Human)	1468
MTHFR	P42898	MTHR_HUMAN	reviewed	Methylenetetrahydrofolate reductase (EC 1.5.1.20)	MTHFR	Homo sapiens (Human)	656
CLCN6	P51797	CLCN6_HUMAN	reviewed	Chloride transport protein 6 (Chloride channel protein 6) (ClC-6)	CLCN6 KIAA0046	Homo sapiens (Human)	869
NPPA	P01160	ANF_HUMAN	reviewed	Natriuretic peptides A (Atrial natriuretic factor prohormone) (proANF) (Atrial natriuretic peptide prohormone) (preproANP) (proANP) (Atriopeptigen) (Cardiodilatin) (CDD) (preproCDD-ANF) [Cleaved into: Long-acting natriuretic peptide (LANP) (Long-acting natriuretic hormone) (LANH) (Pro atrial natriuretic factor 1-30) (proANF 1-30) (Pro atrial natriuretic peptide 1-30) (proANP 1-30); Vessel dilator (VSDL) (Pro atrial natriuretic factor 31-67) (proANF 31-67) (Pro atrial natriuretic peptide 31-67) (proANP 31-67); Kaliuretic peptide (KP) (Pro atrial natriuretic factor 79-98) (proANF 79-98) (Pro atrial natriuretic peptide 79-98) (proANP 79-98); Urodilatin (URO) (CDD 95-126) (CDD-ANP (95-126)) (Pro atrial natriuretic peptide 95-126) (proANP 95-126); Auriculin-C (Atrial natriuretic factor 1-33) (ANF 1-33); Auriculin-D (Atrial natriuretic factor 3-33) (ANF 3-33); Atrial natriuretic peptide (ANP) (Alpha-atrial natriuretic peptide) (Alpha-hANP) (Atrial natriuretic factor) (ANF) (CDD-ANF) (CDD-ANP (99-126)) (Cardionatrin) (Pro atrial natriuretic factor 99-126) (proANF 99-126); Auriculin-B (Atrial natriuretic factor 8-33) (ANF 8-33); Auriculin-A; Atriopeptin-1 (Atriopeptin I); Atriopeptin-2 (Atriopeptin II); Atriopeptin-3 (Atriopeptin III)]	NPPA ANP PND	Homo sapiens (Human)	151
KIAA2013	Q8IYS2	K2013_HUMAN	reviewed	Uncharacterized protein KIAA2013	KIAA2013	Homo sapiens (Human)	634
PLOD1	Q02809	PLOD1_HUMAN	reviewed	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 (EC 1.14.11.4) (Lysyl hydroxylase 1) (LH1)	PLOD1 LLH PLOD	Homo sapiens (Human)	727
MIIP	Q5JXC2	MIIP_HUMAN	reviewed	Migration and invasion-inhibitory protein (IGFBP2-binding protein) (Invasion-inhibitory protein 45) (IIp45)	MIIP IIP45	Homo sapiens (Human)	388
TNFRSF8	P28908	TNR8_HUMAN	reviewed	Tumor necrosis factor receptor superfamily member 8 (CD30L receptor) (Ki-1 antigen) (Lymphocyte activation antigen CD30) (CD antigen CD30)	TNFRSF8 CD30 D1S166E	Homo sapiens (Human)	595
TNFRSF1B	P20333	TNR1B_HUMAN	reviewed	Tumor necrosis factor receptor superfamily member 1B (Tumor necrosis factor receptor 2) (TNF-R2) (Tumor necrosis factor receptor type II) (TNF-RII) (TNFR-II) (p75) (p80 TNF-alpha receptor) (CD antigen CD120b) (Etanercept) [Cleaved into: Tumor necrosis factor receptor superfamily member 1b, membrane form; Tumor necrosis factor-binding protein 2 (TBP-2) (TBPII)]	TNFRSF1B TNFBR TNFR2	Homo sapiens (Human)	461
VPS13D	Q5THJ4	VP13D_HUMAN	reviewed	Vacuolar protein sorting-associated protein 13D	VPS13D KIAA0453	Homo sapiens (Human)	4388
DHRS3	O75911	DHRS3_HUMAN	reviewed	Short-chain dehydrogenase/reductase 3 (EC 1.1.1.300) (DD83.1) (Retinal short-chain dehydrogenase/reductase 1) (retSDR1) (Retinol dehydrogenase 17) (Short chain dehydrogenase/reductase family 16C member 1)	DHRS3 RDH17 SDR16C1 UNQ2424/PRO4983	Homo sapiens (Human)	302
AADACL3	Q5VUY0	ADCL3_HUMAN	reviewed	Arylacetamide deacetylase-like 3 (EC 3.1.1.-)	AADACL3	Homo sapiens (Human)	407
C1orf158	Q8N1D5	CA158_HUMAN	reviewed	Uncharacterized protein C1orf158	C1orf158	Homo sapiens (Human)	194
PRAMEF12	O95522	PRA12_HUMAN	reviewed	PRAME family member 12	PRAMEF12	Homo sapiens (Human)	483
LRRC38	Q5VT99	LRC38_HUMAN	reviewed	Leucine-rich repeat-containing protein 38 (BK channel auxiliary gamma subunit LRRC38)	LRRC38	Homo sapiens (Human)	294
PDPN	Q86YL7	PDPN_HUMAN	reviewed	Podoplanin (Aggrus) (Glycoprotein 36) (Gp36) (PA2.26 antigen) (T1-alpha) (T1A) [Cleaved into: 29kDa cytosolic podoplanin intracellular domain (PICD)]	PDPN GP36 PSEC0003 PSEC0025	Homo sapiens (Human)	162
PRDM2	Q13029	PRDM2_HUMAN	reviewed	PR domain zinc finger protein 2 (EC 2.1.1.355) (GATA-3-binding protein G3B) (Lysine N-methyltransferase 8) (MTB-ZF) (MTE-binding protein) (PR domain-containing protein 2) (Retinoblastoma protein-interacting zinc finger protein) (Zinc finger protein RIZ)	PRDM2 KMT8 RIZ	Homo sapiens (Human)	1718
C1orf195	Q5TG92	CA195_HUMAN	reviewed	Putative uncharacterized protein C1orf195	C1orf195	Homo sapiens (Human)	126
TMEM51	Q9NW97	TMM51_HUMAN	reviewed	Transmembrane protein 51	TMEM51 C1orf72	Homo sapiens (Human)	253
FHAD1	B1AJZ9	FHAD1_HUMAN	reviewed	Forkhead-associated domain-containing protein 1 (FHA domain-containing protein 1)	FHAD1 KIAA1937	Homo sapiens (Human)	1412
CASP9	P55211	CASP9_HUMAN	reviewed	Caspase-9 (CASP-9) (EC 3.4.22.62) (Apoptotic protease Mch-6) (Apoptotic protease-activating factor 3) (APAF-3) (ICE-like apoptotic protease 6) (ICE-LAP6) [Cleaved into: Caspase-9 subunit p35; Caspase-9 subunit p10]	CASP9 MCH6	Homo sapiens (Human)	416
AGMAT	Q9BSE5	SPEB_HUMAN	reviewed	Agmatinase, mitochondrial (EC 3.5.3.11) (Agmatine ureohydrolase) (AUH)	AGMAT	Homo sapiens (Human)	352
FBLIM1	Q8WUP2	FBLI1_HUMAN	reviewed	Filamin-binding LIM protein 1 (FBLP-1) (Migfilin) (Mitogen-inducible 2-interacting protein) (MIG2-interacting protein)	FBLIM1 FBLP1	Homo sapiens (Human)	373
HSPB7	Q9UBY9	HSPB7_HUMAN	reviewed	Heat shock protein beta-7 (HspB7) (Cardiovascular heat shock protein) (cvHsp)	HSPB7 CVHSP	Homo sapiens (Human)	170
EPHA2	P29317	EPHA2_HUMAN	reviewed	Ephrin type-A receptor 2 (EC 2.7.10.1) (Epithelial cell kinase) (Tyrosine-protein kinase receptor ECK)	EPHA2 ECK	Homo sapiens (Human)	976
ARHGEF19	Q8IW93	ARHGJ_HUMAN	reviewed	Rho guanine nucleotide exchange factor 19 (Ephexin-2)	ARHGEF19	Homo sapiens (Human)	802
FBXO42	Q6P3S6	FBX42_HUMAN	reviewed	F-box only protein 42 (Just one F-box and Kelch domain-containing protein)	FBXO42 FBX42 JFK KIAA1332	Homo sapiens (Human)	717
SPATA21	Q7Z572	SPT21_HUMAN	reviewed	Spermatogenesis-associated protein 21	SPATA21	Homo sapiens (Human)	469
CROCC	Q5TZA2	CROCC_HUMAN	reviewed	Rootletin (Ciliary rootlet coiled-coil protein)	CROCC KIAA0445	Homo sapiens (Human)	2017
MFAP2	P55001	MFAP2_HUMAN	reviewed	Microfibrillar-associated protein 2 (MFAP-2) (Microfibril-associated glycoprotein 1) (MAGP) (MAGP-1)	MFAP2 MAGP1	Homo sapiens (Human)	183
ATP13A2	Q9NQ11	AT132_HUMAN	reviewed	Cation-transporting ATPase 13A2 (EC 7.2.2.-)	ATP13A2 PARK9	Homo sapiens (Human)	1180
SDHB	P21912	SDHB_HUMAN	reviewed	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial (EC 1.3.5.1) (Iron-sulfur subunit of complex II) (Ip)	SDHB SDH SDH1	Homo sapiens (Human)	280
PADI2	Q9Y2J8	PADI2_HUMAN	reviewed	Protein-arginine deiminase type-2 (EC 3.5.3.15) (PAD-H19) (Peptidylarginine deiminase II) (Protein-arginine deiminase type II)	PADI2 KIAA0994 PAD2 PDI2	Homo sapiens (Human)	665
PADI1	Q9ULC6	PADI1_HUMAN	reviewed	Protein-arginine deiminase type-1 (EC 3.5.3.15) (Peptidylarginine deiminase I) (Protein-arginine deiminase type I)	PADI1 PAD1 PDI1	Homo sapiens (Human)	663
PADI4	Q9UM07	PADI4_HUMAN	reviewed	Protein-arginine deiminase type-4 (EC 3.5.3.15) (HL-60 PAD) (Peptidylarginine deiminase IV) (Protein-arginine deiminase type IV)	PADI4 PAD4 PADI5 PDI5	Homo sapiens (Human)	663
PADI6	Q6TGC4	PADI6_HUMAN	reviewed	Protein-arginine deiminase type-6 (EC 3.5.3.15) (Peptidyl arginine deiminase-like protein) (Peptidylarginine deiminase VI) (hPADVI) (Protein-arginine deiminase type VI)	PADI6 PAD6	Homo sapiens (Human)	694
ARHGEF10L	Q9HCE6	ARGAL_HUMAN	reviewed	Rho guanine nucleotide exchange factor 10-like protein (GrinchGEF)	ARHGEF10L GRINCHGEF KIAA1626	Homo sapiens (Human)	1279
ACTL8	Q9H568	ACTL8_HUMAN	reviewed	Actin-like protein 8 (Cancer/testis antigen 57) (CT57)	ACTL8	Homo sapiens (Human)	366
KLHDC7A	Q5VTJ3	KLD7A_HUMAN	reviewed	Kelch domain-containing protein 7A	KLHDC7A	Homo sapiens (Human)	777
PAX7	P23759	PAX7_HUMAN	reviewed	Paired box protein Pax-7 (HuP1)	PAX7 HUP1	Homo sapiens (Human)	505
TAS1R2	Q8TE23	TS1R2_HUMAN	reviewed	Taste receptor type 1 member 2 (G-protein coupled receptor 71) (Sweet taste receptor T1R2)	TAS1R2 GPR71 T1R2 TR2	Homo sapiens (Human)	839
ALDH4A1	P30038	AL4A1_HUMAN	reviewed	Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial (P5C dehydrogenase) (EC 1.2.1.88) (Aldehyde dehydrogenase family 4 member A1) (L-glutamate gamma-semialdehyde dehydrogenase)	ALDH4A1 ALDH4 P5CDH	Homo sapiens (Human)	563
UBR4	Q5T4S7	UBR4_HUMAN	reviewed	E3 ubiquitin-protein ligase UBR4 (EC 2.3.2.27) (600 kDa retinoblastoma protein-associated factor) (N-recognin-4) (RING-type E3 ubiquitin transferase UBR4) (Retinoblastoma-associated factor of 600 kDa) (RBAF600) (p600) (Zinc finger UBR1-type protein 1)	UBR4 KIAA0462 KIAA1307 RBAF600 ZUBR1	Homo sapiens (Human)	5183
EMC1	Q8N766	EMC1_HUMAN	reviewed	ER membrane protein complex subunit 1	EMC1 KIAA0090 PSEC0263	Homo sapiens (Human)	993
MRTO4	Q9UKD2	MRT4_HUMAN	reviewed	mRNA turnover protein 4 homolog (Ribosome assembly factor MRTO4)	MRTO4 C1orf33 MRT4	Homo sapiens (Human)	239
HTR6	P50406	5HT6R_HUMAN	reviewed	5-hydroxytryptamine receptor 6 (5-HT-6) (5-HT6) (Serotonin receptor 6)	HTR6	Homo sapiens (Human)	440
TMCO4	Q5TGY1	TMCO4_HUMAN	reviewed	Transmembrane and coiled-coil domain-containing protein 4	TMCO4	Homo sapiens (Human)	634
PLA2G5	P39877	PA2G5_HUMAN	reviewed	Calcium-dependent phospholipase A2 (EC 3.1.1.4) (Group V phospholipase A2) (PLA2-10) (Phosphatidylcholine 2-acylhydrolase 5)	PLA2G5	Homo sapiens (Human)	138
PLA2G2D	Q9UNK4	PA2GD_HUMAN	reviewed	Group IID secretory phospholipase A2 (GIID sPLA2) (sPLA2-IID) (EC 3.1.1.4) (PLA2IID) (Phosphatidylcholine 2-acylhydrolase 2D) (Secretory-type PLA, stroma-associated homolog)	PLA2G2D SPLASH	Homo sapiens (Human)	145
PLA2G2C	Q5R387	PA2GC_HUMAN	reviewed	Putative inactive group IIC secretory phospholipase A2 (Phosphatidylcholine 2-acylhydrolase-like protein GIIC)	PLA2G2C	Homo sapiens (Human)	149
VWA5B1	Q5TIE3	VW5B1_HUMAN	reviewed	von Willebrand factor A domain-containing protein 5B1	VWA5B1	Homo sapiens (Human)	1220
MUL1	Q969V5	MUL1_HUMAN	reviewed	Mitochondrial ubiquitin ligase activator of NFKB 1 (EC 2.3.2.27) (E3 SUMO-protein ligase MUL1) (E3 ubiquitin-protein ligase MUL1) (Growth inhibition and death E3 ligase) (Mitochondrial-anchored protein ligase) (MAPL) (Putative NF-kappa-B-activating protein 266) (RING finger protein 218) (RING-type E3 ubiquitin transferase NFKB 1)	MUL1 C1orf166 GIDE MAPL MULAN RNF218	Homo sapiens (Human)	352
FAM43B	Q6ZT52	FA43B_HUMAN	reviewed	Protein FAM43B	FAM43B	Homo sapiens (Human)	329
DDOST	P39656	OST48_HUMAN	reviewed	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit (DDOST 48 kDa subunit) (Oligosaccharyl transferase 48 kDa subunit)	DDOST KIAA0115 OST48 OK/SW-cl.45	Homo sapiens (Human)	456
KIF17	Q9P2E2	KIF17_HUMAN	reviewed	Kinesin-like protein KIF17 (KIF3-related motor protein)	KIF17 KIAA1405 KIF3X	Homo sapiens (Human)	1029
SH2D5	Q6ZV89	SH2D5_HUMAN	reviewed	SH2 domain-containing protein 5	SH2D5	Homo sapiens (Human)	423
HP1BP3	Q5SSJ5	HP1B3_HUMAN	reviewed	Heterochromatin protein 1-binding protein 3 (Protein HP1-BP74)	HP1BP3	Homo sapiens (Human)	553
EIF4G3	O43432	IF4G3_HUMAN	reviewed	Eukaryotic translation initiation factor 4 gamma 3 (eIF-4-gamma 3) (eIF-4G 3) (eIF4G 3) (eIF-4-gamma II) (eIF4GII)	EIF4G3	Homo sapiens (Human)	1585
ECE1	P42892	ECE1_HUMAN	reviewed	Endothelin-converting enzyme 1 (ECE-1) (EC 3.4.24.71)	ECE1	Homo sapiens (Human)	770
ALPL	P05186	PPBT_HUMAN	reviewed	Alkaline phosphatase, tissue-nonspecific isozyme (AP-TNAP) (TNSALP) (EC 3.1.3.1) (Alkaline phosphatase liver/bone/kidney isozyme)	ALPL	Homo sapiens (Human)	524
RAP1GAP	P47736	RPGP1_HUMAN	reviewed	Rap1 GTPase-activating protein 1 (Rap1GAP) (Rap1GAP1)	RAP1GAP KIAA0474 RAP1GA1	Homo sapiens (Human)	663
ZBTB40	Q9NUA8	ZBT40_HUMAN	reviewed	Zinc finger and BTB domain-containing protein 40	ZBTB40 KIAA0478	Homo sapiens (Human)	1239
